Date,Date_1,Lot,AOI_ID,AOI_Scan_Amount,AOI_Pass_Amount,AOI_Reject_Amount,AOI_Yield,AOI_Yield_Die_Corner,AI_Pass_Amount,AI_Reject_Amount,AI_Yield,AI_Fail_Corner_Yield,Final_Pass_Amount,Final_Reject_Amount,Final_Yield,AI_EA_Overkill_Die_Corner,AI_EA_Overkill_Die_Surface,AI_Image_Overkill_Die_Corner,AI_Image_Overkill_Die_Surface,EA_over_kill_Die_Corner,EA_over_kill_Die_Surface,Image_Overkill_Die_Corner,Image_Overkill_Die_Surface,Total_Images,Image_Overkill,AI_Fail_EA_Die_Corner,AI_Fail_EA_Die_Surface,AI_Fail_Image_Die_Corner,AI_Fail_Image_Die_Surface,AI_Fail_Total,Total_AOI_Die_Corner_Image,AI_Pass,AI_Reduction_Die_Corner,AI_Reduction_All,True_Fail,True_Fail_Crack,True_Fail_Chipout,True_Fail_Die_Surface,True_Fail_Others,EA_True_Fail_Crack,EA_True_Fail_Chipout,EA_True_Fail_Die_Surface,EA_True_Fail_Others,EA_True_Fail_Crack_Chipout,Device_ID,OP_EA_Die_Corner,OP_EA_Die_Surface,OP_EA_Others,Die_Overkill
2024-06-24 07:30:41,2024-06-24,25YRC8W003,9,2015,1993,22,0.9890818858560794,0.9930521091811414,2000,15,0.9925558312655088,0.9965260545905708,2015,0,1.0,0.0034739454094292804,0.003970223325062035,0.12096774193548387,0.08064516129032258,7,8,15,10,124,25,7,8,15,10,25,114,97,0.8660714285714286,0.782258064516129,0,0,0,0,0,0,0,0,0,0,8AP47401CB-GLVE-66U-8in12EN,0,0,0,15
2024-06-24 07:32:55,2024-06-24,244BFQM000,23,10086,10078,8,0.999206821336506,0.999206821336506,10081,5,0.9995042633353164,0.9995042633353164,10081,5,0.9995042633353164,0.0,0.0,0.0,0.0,0,0,0,0,8,0,5,0,5,0,5,8,3,0.375,0.375,5,0,3,0,2,0,3,0,2,3,BMA552-46U-O-8_MEMS,5,0,0,0
2024-06-24 07:32:55,2024-06-24,25NFW3M001,320,1113,786,327,0.7061994609164419,0.7061994609164419,1107,6,0.9946091644204852,0.9946091644204852,1111,2,0.9982030548068284,0.003593890386343217,0.0,0.008547008547008548,0.0,4,0,4,0,468,4,6,0,6,0,6,468,462,0.9871794871794872,0.9871794871794872,2,1,1,0,0,1,1,0,0,2,Z42N-1212reticle,2,0,0,4
2024-06-24 07:33:01,2024-06-24,25YRC8W003,8,2001,1998,3,0.9985007496251874,0.9985007496251874,2001,0,1.0,1.0,2001,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,3,0,0,0,0,0,0,3,1,1.0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,8AP47401CB-GLVE-66U-8in12EN,0,0,0,0
2024-06-24 07:33:14,2024-06-24,254BNCW002,6,4039,3980,59,0.985392423867294,0.985392423867294,3983,56,0.9861351819757366,0.9861351819757366,4037,2,0.9995048279277048,0.01336964595196831,0.0,0.9076923076923076,0.0,54,0,59,0,65,59,56,0,61,0,61,65,4,0.061538461538461535,0.061538461538461535,2,0,0,0,2,0,0,0,2,0,BMI482AAA-50U-O-8,2,0,0,54
2024-06-24 07:35:21,2024-06-24,25YRC8W003,7,2008,2006,2,0.999003984063745,0.999003984063745,2008,0,1.0,1.0,2008,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,0,0,0,0,0,2,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,8AP47401CB-GLVE-66U-8in12EN,0,0,0,0
2024-06-24 07:36:14,2024-06-24,244BSNM001,4,10790,10734,56,0.9948100092678406,0.9948100092678406,10752,38,0.996478220574606,0.996478220574606,10785,5,0.9995366079703428,0.003058387395736793,0.0,0.4868421052631579,0.0,33,0,37,0,76,37,38,0,42,0,42,76,34,0.4473684210526316,0.4473684210526316,5,0,1,0,5,0,1,0,4,1,BMI482AAA_14U_O_8_M001,5,0,0,33
2024-06-24 07:37:38,2024-06-24,25NF3FM001,161,1499,1345,154,0.8972648432288192,0.9019346230820549,1490,9,0.9939959973315544,0.99866577718479,1496,3,0.9979986657771848,0.00066711140760507,0.00333555703802535,0.004878048780487805,0.043902439024390234,1,5,1,9,205,10,2,7,2,11,13,194,192,0.9896907216494846,0.9365853658536586,3,1,0,2,0,1,0,2,0,1,Y52P-1117,3,0,0,6
2024-06-24 07:37:42,2024-06-24,25YRC8W003,6,2010,2003,7,0.9965174129353234,0.9970149253731344,2008,2,0.999004975124378,0.9995024875621892,2010,0,1.0,0.0004975124378109452,0.0004975124378109452,0.14285714285714285,0.14285714285714285,1,1,1,1,7,2,1,1,1,1,2,6,3,0.75,0.42857142857142855,0,0,0,0,0,0,0,0,0,0,8AP47401CB-GLVE-66U-8in12EN,0,0,0,2
2024-06-24 07:38:07,2024-06-24,254BNCW002,7,4033,3927,106,0.9737168361021572,0.9737168361021572,3943,90,0.9776841061244732,0.9776841061244732,4023,10,0.9975204562360526,0.01983635011157947,0.0,0.7567567567567568,0.0,80,0,84,0,111,84,90,0,94,0,94,111,17,0.15315315315315314,0.15315315315315314,10,2,1,0,8,2,1,0,7,3,BMI482AAA-50U-O-8,10,0,0,80
2024-06-24 07:38:16,2024-06-24,25NFW7M001,77,1093,792,301,0.7246111619396157,0.7246111619396157,1090,3,0.9972552607502287,0.9972552607502287,1093,0,1.0,0.0027447392497712718,0.0,0.0078125,0.0,3,0,3,0,384,3,3,0,3,0,3,384,381,0.9921875,0.9921875,0,0,0,0,0,0,0,0,0,0,Z42N-0429,0,0,0,3
2024-06-24 07:39:14,2024-06-24,30SINWW004,14,526,522,4,0.9923954372623576,0.9923954372623576,524,2,0.9961977186311788,0.9961977186311788,524,2,0.9961977186311788,0.0,0.0,0.0,0.0,0,0,0,0,4,0,2,0,2,0,2,4,2,0.5,0.5,2,0,0,0,2,0,0,0,2,0,M3990L00014-07U-O-12-5F,0,0,2,0
2024-06-24 07:40:00,2024-06-24,244BE0M002,16,8846,8784,62,0.992991182455347,0.9932172733438842,8821,25,0.9971738638932852,0.9973999547818224,8836,10,0.9988695455573141,0.0015826362197603435,0.0,0.175,0.0,14,0,14,0,80,14,23,2,25,2,27,78,53,0.6794871794871795,0.6625,13,0,0,2,11,0,0,2,8,0,BMI482AAA_16U_O_8_M002,10,0,0,15
2024-06-24 07:40:03,2024-06-24,25NF3CN001,19,1572,1263,309,0.8034351145038168,0.8307888040712468,1529,43,0.97264631043257,1.0,1572,0,1.0,0.0,0.027353689567430027,0.0,0.14664310954063606,0,43,0,83,566,83,0,43,0,83,83,483,483,1.0,0.8533568904593639,0,0,0,0,0,0,0,0,0,0,Y52P-1117,0,0,0,43
2024-06-24 07:40:04,2024-06-24,25YRC8W003,5,2056,2053,3,0.9985408560311284,0.9985408560311284,2056,0,1.0,1.0,2056,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,3,0,0,0,0,0,0,3,1,1.0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,8AP47401CB-GLVE-66U-8in12EN,0,0,0,0
2024-06-24 07:41:38,2024-06-24,25NFW3M001,321,1093,818,275,0.7483989021043002,0.7483989021043002,1090,3,0.9972552607502287,0.9972552607502287,1093,0,1.0,0.0027447392497712718,0.0,0.008174386920980926,0.0,3,0,3,0,367,3,3,0,3,0,3,367,364,0.9918256130790192,0.9918256130790192,0,0,0,0,0,0,0,0,0,0,Z42N-1212reticle,0,0,0,3
2024-06-24 07:42:08,2024-06-24,30SINWW004,15,534,532,2,0.99625468164794,0.99625468164794,534,0,1.0,1.0,534,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,0,0,0,0,0,2,2,1.0,1.0,0,0,0,0,0,0,0,0,0,0,M3990L00014-07U-O-12-5F,0,0,0,0
2024-06-24 07:42:42,2024-06-24,254BNDW002,8,4022,3954,68,0.983092988562904,0.983092988562904,3959,63,0.9843361511685728,0.9843361511685728,4012,10,0.9975136747886624,0.013177523620089508,0.0,0.7468354430379747,0.0,53,0,59,0,79,59,63,0,71,0,71,79,8,0.10126582278481013,0.10126582278481013,12,0,0,0,12,0,0,0,10,0,BMI482AAA-50U-O-8,10,0,0,53
2024-06-24 07:42:51,2024-06-24,244BF4M001,3,13376,12792,584,0.9563397129186604,0.9563397129186604,13091,285,0.9786931818181818,0.9786931818181818,13235,141,0.9894587320574164,0.01076555023923445,0.0,0.17457305502846301,0.0,144,0,184,0,1054,184,285,0,358,0,358,1054,696,0.6603415559772297,0.6603415559772297,174,190,1,0,0,140,1,0,0,141,BMA552-40U-O-8-M001,140,0,1,144
2024-06-24 07:42:52,2024-06-24,244BFQM000,24,10164,10154,10,0.9990161353797716,0.9990161353797716,10157,7,0.9993112947658402,0.9993112947658402,10157,7,0.9993112947658402,0.0,0.0,0.0,0.0,0,0,0,0,10,0,7,0,7,0,7,10,3,0.3,0.3,7,0,5,0,2,0,5,0,2,5,BMA552-46U-O-8_MEMS,7,0,0,0
2024-06-24 07:45:04,2024-06-24,30SINWW004,16,547,546,1,0.9981718464351006,0.9981718464351006,547,0,1.0,1.0,547,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,M3990L00014-07U-O-12-5F,0,0,0,0
2024-06-24 07:47:43,2024-06-24,254BNDW002,9,4048,3920,128,0.9683794466403162,0.9683794466403162,3942,106,0.9738142292490118,0.9738142292490118,4041,7,0.9982707509881424,0.02445652173913044,0.0,0.7647058823529411,0.0,99,0,104,0,136,104,106,0,112,0,112,136,24,0.17647058823529413,0.17647058823529413,8,1,0,0,8,1,0,0,6,1,BMI482AAA-50U-O-8,7,0,0,99
2024-06-24 07:48:06,2024-06-24,30SINWW004,17,539,534,5,0.9907235621521336,0.9907235621521336,539,0,1.0,1.0,539,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,25,0,0,0,0,0,0,25,25,1.0,1.0,0,0,0,0,0,0,0,0,0,0,M3990L00014-07U-O-12-5F,0,0,0,0
