Date,Date_1,Lot,AOI_ID,AOI_Scan_Amount,AOI_Pass_Amount,AOI_Reject_Amount,AOI_Yield,AOI_Yield_Die_Corner,AI_Pass_Amount,AI_Reject_Amount,AI_Yield,AI_Fail_Corner_Yield,Final_Pass_Amount,Final_Reject_Amount,Final_Yield,AI_EA_Overkill_Die_Corner,AI_EA_Overkill_Die_Surface,AI_Image_Overkill_Die_Corner,AI_Image_Overkill_Die_Surface,EA_over_kill_Die_Corner,EA_over_kill_Die_Surface,Image_Overkill_Die_Corner,Image_Overkill_Die_Surface,Total_Images,Image_Overkill,AI_Fail_EA_Die_Corner,AI_Fail_EA_Die_Surface,AI_Fail_Image_Die_Corner,AI_Fail_Image_Die_Surface,AI_Fail_Total,Total_AOI_Die_Corner_Image,AI_Pass,AI_Reduction_Die_Corner,AI_Reduction_All,True_Fail,True_Fail_Crack,True_Fail_Chipout,True_Fail_Die_Surface,True_Fail_Others,EA_True_Fail_Crack,EA_True_Fail_Chipout,EA_True_Fail_Die_Surface,EA_True_Fail_Others,EA_True_Fail_Crack_Chipout,Device_ID,OP_EA_Die_Corner,OP_EA_Die_Surface,OP_EA_Others,Die_Overkill
2024-06-23 07:31:14,2024-06-23,25NFVPM000,002,1175,911,264,0.7753191489361703,0.7753191489361703,1164,11,0.9906382978723404,0.9906382978723404,1170,5,0.9957446808510638,0.005106382978723404,0.0,0.01729106628242075,0.0,6,0,6,0,347,6,11,0,11,0,11,347,336,0.968299711815562,0.968299711815562,5,3,2,0,0,3,2,0,0,5,Z42N-1212reticle,5,0,0,6
2024-06-23 07:33:53,2024-06-23,25NF3AW001,265,1562,1335,227,0.854673495518566,0.8770806658130602,1526,36,0.9769526248399488,0.9993597951344432,1561,1,0.9993597951344432,0.0,0.022407170294494242,0.0,0.13973799126637554,0,35,0,64,458,64,1,35,1,64,65,394,393,0.9974619289340102,0.8580786026200873,1,1,0,0,0,1,0,0,0,1,Y52P-1117,1,0,0,35
2024-06-23 07:34:43,2024-06-23,25NFUUN001,J49,1076,698,378,0.6486988847583643,0.6486988847583643,1075,1,0.9990706319702602,0.9990706319702602,1075,1,0.9990706319702602,0.0,0.0,0.0,0.0,0,0,0,0,459,0,1,0,1,0,1,459,458,0.9978213507625272,0.9978213507625272,1,0,0,0,1,0,0,0,1,0,Y42M-1027-diebase-tigten_corner-2X-SURFACE,0,1,0,0
2024-06-23 07:34:56,2024-06-23,25NFVLM001,016,1190,851,339,0.7151260504201681,0.7151260504201681,1187,3,0.9974789915966388,0.9974789915966388,1190,0,1.0,0.002521008403361345,0.0,0.005725190839694657,0.0,3,0,3,0,524,3,3,0,3,0,3,524,521,0.9942748091603052,0.9942748091603052,0,0,0,0,0,0,0,0,0,0,Z42N-1212reticle,0,0,0,3
2024-06-23 07:35:18,2024-06-23,244BE5M001,11,10808,10754,54,0.9950037009622502,0.9950037009622502,10771,37,0.9965766099185788,0.9965766099185788,10798,10,0.9990747594374536,0.0024981495188749073,0.0,0.4324324324324325,0.0,27,0,32,0,74,32,37,0,42,0,42,74,32,0.4324324324324325,0.4324324324324325,10,0,1,0,10,0,1,0,9,1,BMI482AAA_14U_O_8_M001,10,0,0,27
2024-06-23 07:36:12,2024-06-23,244BF0M000,11,10098,10035,63,0.9937611408199644,0.9937611408199644,10056,42,0.995840760546643,0.995840760546643,10057,41,0.9959397900574372,9.902951079421667e-05,0.0,0.015384615384615384,0.0,1,0,1,0,65,1,42,0,42,0,42,65,23,0.3538461538461539,0.3538461538461539,41,1,38,0,2,1,38,0,2,39,BMA552-46U-O-8_MEMS,41,0,0,1
2024-06-23 07:36:48,2024-06-23,25NFVMM001,370,1185,6,1179,0.005063291139240506,0.006751054852320675,1169,16,0.9864978902953586,0.9881856540084388,1183,2,0.9983122362869198,0.010126582278481013,0.0016877637130801688,0.0036021058464948733,0.0005541701302299807,12,2,13,2,3609,15,14,2,15,2,17,3607,3592,0.9958414194621568,0.9952895538930452,2,1,1,0,0,1,1,0,0,2,Z42N-1009,2,0,0,14
2024-06-23 07:39:37,2024-06-23,25NF3EW002,322,1558,975,583,0.6258023106546855,0.6309370988446726,1548,10,0.993581514762516,0.9987163029525032,1555,3,0.9980744544287548,0.0006418485237483952,0.003851091142490373,0.001201923076923077,0.009615384615384616,1,6,1,8,832,9,2,8,2,10,12,822,820,0.9975669099756692,0.9855769230769232,3,1,0,2,0,1,0,2,0,1,Y52P-0423,1,2,0,7
2024-06-23 07:41:31,2024-06-23,30SIK7W001,13,927,926,1,0.9989212513484358,0.9989212513484358,927,0,1.0,1.0,927,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,M3991A00017-98U-O-12_Rw,0,0,0,0
2024-06-23 07:43:18,2024-06-23,25NFUUN001,J51,1074,700,374,0.6517690875232774,0.6573556797020484,1068,6,0.994413407821229,1.0,1073,1,0.9990689013035382,0.0,0.004655493482309125,0.0,0.010775862068965518,0,5,0,5,464,5,0,6,0,6,6,458,458,1.0,0.9870689655172412,1,0,0,1,0,0,0,1,0,0,Y42M-1027-diebase-tigten_corner-2X-SURFACE,0,1,0,5
2024-06-23 07:44:03,2024-06-23,25NFVLM001,017,1194,890,304,0.7453936348408711,0.7453936348408711,1185,9,0.992462311557789,0.992462311557789,1192,2,0.998324958123953,0.005862646566164154,0.0,0.015250544662309368,0.0,7,0,7,0,459,7,9,0,9,0,9,459,450,0.9803921568627452,0.9803921568627452,2,0,2,0,0,0,2,0,0,2,Z42N-1212reticle,2,0,0,7
2024-06-23 07:44:19,2024-06-23,30SIK7W001,12,924,922,2,0.997835497835498,0.997835497835498,923,1,0.9989177489177488,0.9989177489177488,923,1,0.9989177489177488,0.0,0.0,0.0,0.0,0,0,0,0,2,0,1,0,1,0,1,2,1,0.5,0.5,1,0,0,0,1,0,0,0,1,0,M3991A00017-98U-O-12_Rw,0,0,1,0
2024-06-23 07:45:07,2024-06-23,25NFW6M000,043,1104,359,745,0.32518115942028986,0.32518115942028986,1098,6,0.9945652173913044,0.9945652173913044,1103,1,0.9990942028985508,0.004528985507246377,0.0,0.00441306266548985,0.0,5,0,5,0,1133,5,6,0,6,0,6,1133,1127,0.994704324801412,0.994704324801412,1,0,1,0,0,0,1,0,0,1,Z42N-1009,1,0,0,5
2024-06-23 07:45:18,2024-06-23,25NFVMM001,371,1161,40,1121,0.034453057708871665,0.035314384151593464,1150,11,0.9905254091300604,0.991386735572782,1157,4,0.9965546942291128,0.00516795865633075,0.0008613264427217916,0.0020782819535850364,0.0003463803255975061,6,1,6,1,2887,7,10,1,10,1,11,2886,2876,0.9965349965349966,0.9961898164184274,4,0,4,0,0,0,4,0,0,4,Z42N-1009,4,0,0,7
2024-06-23 07:45:41,2024-06-23,25YRZ4W015,01,640,610,30,0.953125,0.953125,638,2,0.996875,0.996875,640,0,1.0,0.003125,0.0,0.04444444444444445,0.0,2,0,2,0,45,2,2,0,2,0,2,45,37,0.9487179487179488,0.8222222222222222,0,0,0,0,0,0,0,0,0,0,8CP560681AC-GLTI-04U-O-8in12EN,0,0,0,2
2024-06-23 07:46:53,2024-06-23,244BF0M000,12,10122,10055,67,0.9933807547915432,0.9933807547915432,10074,48,0.995257854179016,0.995257854179016,10080,42,0.995850622406639,0.0005927682276229994,0.0,0.07317073170731707,0.0,6,0,6,0,82,6,48,0,48,0,48,82,34,0.4146341463414634,0.4146341463414634,42,1,41,0,0,1,41,0,0,42,BMA552-46U-O-8_MEMS,42,0,0,6
2024-06-23 07:46:58,2024-06-23,30SIK7W001,11,916,916,0,1.0,1.0,916,0,1.0,1.0,916,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,M3991A00017-98U-O-12_Rw,0,0,0,0
2024-06-23 07:47:22,2024-06-23,244BE5M001,12,10811,10750,61,0.9943575987420219,0.9943575987420219,10774,37,0.996577559892702,0.996577559892702,10797,14,0.9987050226621034,0.002127462769401536,0.0,0.3291139240506329,0.0,23,0,26,0,79,26,37,0,41,0,41,79,38,0.4810126582278481,0.4810126582278481,15,0,1,0,14,0,0,0,14,0,BMI482AAA_14U_O_8_M001,14,0,0,23
2024-06-23 07:49:37,2024-06-23,30SIK7W001,10,951,951,0,1.0,1.0,951,0,1.0,1.0,951,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,M3991A00017-98U-O-12_Rw,0,0,0,0
2024-06-23 07:52:07,2024-06-23,25NFUUN001,J52,1082,688,394,0.6358595194085028,0.6358595194085028,1082,0,1.0,1.0,1082,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,510,0,0,0,0,0,0,510,510,1.0,1.0,0,0,0,0,0,0,0,0,0,0,Y42M-1027-diebase-tigten_corner-2X-SURFACE,0,0,0,0
2024-06-23 07:52:16,2024-06-23,25YRZ4W014,25,626,606,20,0.9680511182108626,0.9696485623003196,624,2,0.9968051118210862,0.9984025559105432,625,1,0.9984025559105432,0.0,0.0,0.0,0.0,0,0,0,0,28,0,1,1,1,1,2,27,20,0.9523809523809524,0.7142857142857143,2,0,0,1,1,0,0,0,1,0,8CP560681AC-GLTI-04U-O-8in12EN,1,0,0,1
2024-06-23 07:52:17,2024-06-23,30SIK7W001,09,940,940,0,1.0,1.0,940,0,1.0,1.0,940,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,M3991A00017-98U-O-12_Rw,0,0,0,0
2024-06-23 07:52:28,2024-06-23,25NFW6M000,068,1087,424,663,0.39006439742410304,0.39006439742410304,1082,5,0.9954001839926404,0.9954001839926404,1087,0,1.0,0.0045998160073597045,0.0,0.005122950819672132,0.0,5,0,5,0,976,5,5,0,5,0,5,976,971,0.9948770491803278,0.9948770491803278,0,0,0,0,0,0,0,0,0,0,Z42N-1009,0,0,0,5
2024-06-23 07:53:05,2024-06-23,25NFVLM001,018,1176,803,373,0.6828231292517006,0.6828231292517006,1170,6,0.9948979591836736,0.9948979591836736,1173,3,0.9974489795918368,0.0025510204081632647,0.0,0.004702194357366771,0.0,3,0,3,0,638,3,6,0,6,0,6,638,632,0.9905956112852664,0.9905956112852664,3,1,2,0,0,1,2,0,0,3,Z42N-1212reticle,3,0,0,3
2024-06-23 07:54:01,2024-06-23,25NFVMM001,372,1192,18,1174,0.015100671140939596,0.015100671140939596,1178,14,0.9882550335570469,0.9882550335570469,1190,2,0.9983221476510068,0.010067114093959731,0.0,0.0037301834006838674,0.0,12,0,12,0,3217,12,14,0,14,0,14,3217,3203,0.9956481193658688,0.9956481193658688,2,0,2,0,0,0,2,0,0,2,Z42N-1009,2,0,0,12
2024-06-23 07:54:58,2024-06-23,30SIK7W001,08,958,958,0,1.0,1.0,958,0,1.0,1.0,958,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,M3991A00017-98U-O-12_Rw,0,0,0,0
2024-06-23 07:55:03,2024-06-23,25YRZ4W013,24,666,645,21,0.9684684684684683,0.9684684684684683,665,1,0.9984984984984984,0.9984984984984984,666,0,1.0,0.0015015015015015015,0.0,0.03225806451612903,0.0,1,0,1,0,31,1,1,0,1,0,1,31,24,0.96,0.7741935483870968,0,0,0,0,0,0,0,0,0,0,8CP560681AC-GLTI-04U-O-8in12EN,0,0,0,1
2024-06-23 07:55:04,2024-06-23,25NFW1M000,270,1095,922,173,0.8420091324200913,0.8420091324200913,1093,2,0.9981735159817352,0.9981735159817352,1094,1,0.9990867579908675,0.00091324200913242,0.0,0.004878048780487805,0.0,1,0,1,0,205,1,2,0,2,0,2,205,203,0.9902439024390244,0.9902439024390244,1,1,0,0,0,1,0,0,0,1,Z42N-0429,1,0,0,1
2024-06-23 07:55:26,2024-06-23,25NEJ2W002,08,3635,3620,15,0.9958734525447044,0.9958734525447044,3634,1,0.9997248968363136,0.9997248968363136,3635,0,1.0,0.00027510316368638244,0.0,0.05555555555555555,0.0,1,0,1,0,18,1,1,0,1,0,1,18,17,0.9444444444444444,0.9444444444444444,0,0,0,0,0,0,0,0,0,0,V701333AEAFE-3102-12-1,0,0,0,1
2024-06-23 07:55:29,2024-06-23,25TXADW004,07,862,858,4,0.9953596287703016,0.9953596287703016,861,1,0.9988399071925754,0.9988399071925754,862,0,1.0,0.001160092807424594,0.0,0.25,0.0,1,0,1,0,4,1,1,0,1,0,1,4,3,0.75,0.75,0,0,0,0,0,0,0,0,0,0,BS5ZFC92BAP-87U-O-12-SX06,0,0,0,1
2024-06-23 07:57:37,2024-06-23,30SIK7W001,07,919,919,0,1.0,1.0,919,0,1.0,1.0,919,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,M3991A00017-98U-O-12_Rw,0,0,0,0
