Date,Date_1,Lot,AOI_ID,AOI_Scan_Amount,AOI_Pass_Amount,AOI_Reject_Amount,AOI_Yield,AOI_Yield_Die_Corner,AI_Pass_Amount,AI_Reject_Amount,AI_Yield,AI_Fail_Corner_Yield,Final_Pass_Amount,Final_Reject_Amount,Final_Yield,AI_EA_Overkill_Die_Corner,AI_EA_Overkill_Die_Surface,AI_Image_Overkill_Die_Corner,AI_Image_Overkill_Die_Surface,EA_over_kill_Die_Corner,EA_over_kill_Die_Surface,Image_Overkill_Die_Corner,Image_Overkill_Die_Surface,Total_Images,Image_Overkill,AI_Fail_EA_Die_Corner,AI_Fail_EA_Die_Surface,AI_Fail_Image_Die_Corner,AI_Fail_Image_Die_Surface,AI_Fail_Total,Total_AOI_Die_Corner_Image,AI_Pass,AI_Reduction_Die_Corner,AI_Reduction_All,True_Fail,True_Fail_Crack,True_Fail_Chipout,True_Fail_Die_Surface,True_Fail_Others,EA_True_Fail_Crack,EA_True_Fail_Chipout,EA_True_Fail_Die_Surface,EA_True_Fail_Others,EA_True_Fail_Crack_Chipout,Device_ID,OP_EA_Die_Corner,OP_EA_Die_Surface,OP_EA_Others,Die_Overkill
2024-06-30 07:32:17,2024-06-30,26NF9NW001,053,1130,8,1122,0.007079646017699116,0.007079646017699116,1113,17,0.9849557522123894,0.9849557522123894,1128,2,0.9982300884955752,0.01327433628318584,0.0,0.004420866489832007,0.0,15,0,15,0,3393,15,17,0,17,0,17,3393,3376,0.994989684644857,0.994989684644857,2,2,0,0,0,2,0,0,0,2,Z42N-1009,2,0,0,15
2024-06-30 07:32:27,2024-06-30,26NF9MW001,172,1107,961,146,0.8681120144534779,0.8681120144534779,1102,5,0.995483288166215,0.995483288166215,1104,3,0.997289972899729,0.0018066847335140015,0.0,0.009389671361502348,0.0,2,0,2,0,213,2,5,0,5,0,5,213,208,0.976525821596244,0.976525821596244,3,1,2,0,0,1,2,0,0,3,Z42N-0429,3,0,0,2
2024-06-30 07:34:36,2024-06-30,244BJWM001,23,13388,10942,2446,0.8172990737974305,0.8174484613086346,13238,150,0.9887959366596952,0.9889453241708992,13369,19,0.9985808186435614,0.009635494472662086,0.00014938751120406333,0.021246680206217783,0.00031245117950320266,129,2,136,2,6401,138,148,2,155,2,157,6399,6244,0.975777465228942,0.9754725824089986,19,15,4,0,0,15,4,0,0,19,BMA552-40U-O-8-M001,19,0,0,131
2024-06-30 07:35:18,2024-06-30,26NFCBW002,254,1583,1202,381,0.7593177511054959,0.7852179406190777,1538,45,0.9715729627289956,0.9974731522425774,1582,1,0.9993682880606444,0.0018951358180669612,0.02590018951358181,0.004405286343612335,0.1027900146842878,3,41,3,70,681,73,4,41,4,70,74,611,607,0.9934533551554828,0.8913362701908958,1,1,0,0,0,1,0,0,0,1,Y52P-1117,1,0,0,44
2024-06-30 07:36:30,2024-06-30,26NFCCW002,125,1541,1526,15,0.9902660609993512,0.9902660609993512,1540,1,0.99935107073329,0.99935107073329,1540,1,0.99935107073329,0.0,0.0,0.0,0.0,0,0,0,0,16,0,1,0,1,0,1,16,15,0.9375,0.9375,1,0,1,0,0,0,1,0,0,1,Y52P-1116,1,0,0,0
2024-06-30 07:40:46,2024-06-30,26NF9NW001,054,1095,27,1068,0.024657534246575345,0.024657534246575345,1080,15,0.9863013698630136,0.9863013698630136,1094,1,0.9990867579908675,0.012785388127853882,0.0,0.004814305364511692,0.0,14,0,14,0,2908,14,15,0,15,0,15,2908,2893,0.9948418156808804,0.9948418156808804,1,1,0,0,0,1,0,0,0,1,Z42N-1009,1,0,0,14
2024-06-30 07:42:53,2024-06-30,252K56N001,01,4909,4909,0,1.0,1.0,4909,0,1.0,1.0,4909,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,MT3608AN-AHHA-C5EAND-L-29U-O-12M001EN,0,0,0,0
2024-06-30 07:43:01,2024-06-30,26NF9MW001,173,1077,591,486,0.5487465181058496,0.5487465181058496,1069,8,0.9925719591457752,0.9925719591457752,1075,2,0.9981429897864438,0.0055710306406685246,0.0,0.007989347536617843,0.0,6,0,6,0,751,6,8,0,8,0,8,751,743,0.9893475366178428,0.9893475366178428,2,1,1,0,0,1,1,0,0,2,Z42N-0429,2,0,0,6
2024-06-30 07:43:25,2024-06-30,26NFCCW002,990,1586,1573,13,0.9918032786885246,0.9924337957124842,1585,1,0.9993694829760404,1.0,1586,0,1.0,0.0,0.0006305170239596469,0.0,0.07692307692307693,0,1,0,1,13,1,0,1,0,1,1,12,12,1.0,0.9230769230769232,0,0,0,0,0,0,0,0,0,0,Y52P-1116,0,0,0,1
2024-06-30 07:43:31,2024-06-30,254BQHM002,01,8712,8620,92,0.9894398530762168,0.9894398530762168,8669,43,0.9950642791551882,0.9950642791551882,8698,14,0.9983930211202938,0.003328741965105601,0.0,0.275,0.0,29,0,33,0,120,33,43,0,47,0,47,120,73,0.6083333333333333,0.6083333333333333,14,0,2,0,13,0,2,0,12,2,BMI482AAB_16U_O_8_M002,14,0,0,29
2024-06-30 07:45:16,2024-06-30,252K56N002,02,4906,4903,3,0.9993885038728088,0.999592335915206,4905,1,0.9997961679576031,1.0,4906,0,1.0,0.0,0.0002038320423970648,0.0,0.3333333333333333,0,1,0,1,3,1,0,1,0,1,1,2,2,1.0,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,MT3608AN-AHHA-C5EAND-L-29U-O-12M001EN,0,0,0,1
2024-06-30 07:46:28,2024-06-30,254BRHM001,23,10725,10484,241,0.9775291375291376,0.9775291375291376,10574,151,0.9859207459207461,0.9859207459207461,10714,11,0.9989743589743588,0.013053613053613055,0.0,0.4763157894736842,0.0,140,0,181,0,380,181,151,0,193,0,193,380,187,0.4921052631578947,0.4921052631578947,12,0,3,0,12,0,3,0,8,3,BMI482AAB_14U_O_8_M001,11,0,0,140
2024-06-30 07:49:34,2024-06-30,26NF9NW001,055,1114,5,1109,0.004488330341113106,0.005385996409335727,1086,28,0.9748653500897666,0.9757630161579892,1111,3,0.9973070017953322,0.02154398563734291,0.0008976660682226213,0.007162041181736795,0.00029841838257236653,24,1,24,1,3351,25,27,1,27,1,28,3350,3323,0.9919402985074628,0.9916442852879738,3,1,2,0,0,1,2,0,0,3,Z42N-1009,3,0,0,25
2024-06-30 07:50:36,2024-06-30,26NFCCW002,991,1570,1532,38,0.9757961783439492,0.9796178343949044,1564,6,0.9961783439490446,1.0,1564,6,0.9961783439490446,0.0,0.0,0.0,0.0,0,0,0,0,46,0,0,6,0,6,6,40,40,1.0,0.8695652173913043,6,0,0,6,0,0,0,6,0,0,Y52P-1116,0,6,0,0
2024-06-30 07:51:22,2024-06-30,26NFCBW002,955,1571,999,572,0.6359007001909611,0.6569064290260981,1531,40,0.9745385105028644,0.9955442393380012,1567,4,0.9974538510502864,0.0019096117122851689,0.02036919159770846,0.0032573289902280127,0.06623235613463628,3,32,3,61,921,64,7,33,7,61,68,860,853,0.9918604651162792,0.9261672095548316,4,4,0,3,0,4,0,0,0,4,Y52P-1117,4,0,0,36
2024-06-30 07:52:31,2024-06-30,264BDQW001,10,3987,3733,254,0.9362929520943064,0.9362929520943064,3767,220,0.9448206671682968,0.9448206671682968,3954,33,0.9917231000752446,0.04690243290694758,0.0,0.7366548042704626,0.0,187,0,207,0,281,207,220,0,240,0,240,281,41,0.14590747330960854,0.14590747330960854,33,1,1,0,33,1,0,0,32,1,BMI482AAB-50U-O-8,33,0,0,187
2024-06-30 07:54:02,2024-06-30,26NF9MW001,175,1123,516,607,0.4594835262689225,0.4594835262689225,1117,6,0.9946571682991986,0.9946571682991986,1122,1,0.9991095280498664,0.004452359750667854,0.0,0.005780346820809247,0.0,5,0,5,0,865,5,6,0,6,0,6,865,859,0.9930635838150288,0.9930635838150288,1,1,0,0,0,1,0,0,0,1,Z42N-0429,1,0,0,5
2024-06-30 07:54:19,2024-06-30,26PBPRM000,01,1326,1326,0,1.0,1.0,1326,0,1.0,1.0,1326,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,SAF775DHN-N208W-K20-54U-O-12,0,0,0,0
2024-06-30 07:55:08,2024-06-30,254BQHM002,02,8806,8706,100,0.9886441062911652,0.9887576652282536,8755,51,0.9942084942084942,0.9943220531455824,8791,15,0.9982966159436748,0.00408812173518056,0.0,0.3235294117647059,0.0,36,0,44,0,136,44,50,1,58,1,59,135,77,0.5703703703703704,0.5661764705882353,15,0,0,1,14,0,0,1,14,0,BMI482AAB_16U_O_8_M002,15,0,0,36
2024-06-30 07:56:05,2024-06-30,26NELUW005,11,7193,7188,5,0.9993048797441958,0.9994439037953566,7192,1,0.9998609759488392,1.0,7192,1,0.9998609759488392,0.0,0.0,0.0,0.0,0,0,0,0,5,0,0,1,0,1,1,4,4,1.0,0.8,1,0,0,1,0,0,0,1,0,0,V7010243AFE-32A2-12,1,0,0,0
2024-06-30 07:56:57,2024-06-30,26PBPRM000,02,1306,1306,0,1.0,1.0,1306,0,1.0,1.0,1306,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,SAF775DHN-N208W-K20-54U-O-12,0,0,0,0
2024-06-30 07:58:03,2024-06-30,26NF9NW001,056,1121,29,1092,0.02586975914362177,0.02586975914362177,1102,19,0.9830508474576272,0.9830508474576272,1117,4,0.9964317573595004,0.013380909901873328,0.0,0.0053590568060021436,0.0,15,0,15,0,2799,15,19,0,19,0,19,2799,2780,0.993211861379064,0.993211861379064,4,3,1,0,0,3,1,0,0,4,Z42N-1009,4,0,0,15
2024-06-30 07:58:03,2024-06-30,31SIP3W002,04,546,537,9,0.9835164835164836,0.9835164835164836,544,2,0.9963369963369964,0.9963369963369964,544,2,0.9963369963369964,0.0,0.0,0.0,0.0,0,0,0,0,9,0,2,0,2,0,2,9,7,0.7777777777777778,0.7777777777777778,2,0,0,0,2,0,0,0,2,0,M3990L00014-07U-O-12-5F,0,0,2,0
2024-06-30 07:58:26,2024-06-30,26NFCCW002,992,1560,1409,151,0.9032051282051282,0.9064102564102564,1548,12,0.9923076923076924,0.9955128205128204,1555,5,0.9967948717948718,0.004487179487179487,0.0,0.03571428571428571,0.0,7,0,7,0,196,7,7,5,7,5,12,191,184,0.9633507853403142,0.9387755102040816,5,0,0,5,0,0,0,5,0,0,Y52P-1116,0,5,0,7
2024-06-30 07:59:03,2024-06-30,26NELUW005,12,7109,7100,9,0.9987339991559996,0.9987339991559996,7108,1,0.9998593332395554,0.9998593332395554,7109,0,1.0,0.00014066676044450696,0.0,0.1111111111111111,0.0,1,0,1,0,9,1,1,0,1,0,1,9,8,0.8888888888888888,0.8888888888888888,0,0,0,0,0,0,0,0,0,0,V7010243AFE-32A2-12,0,0,0,1
2024-06-30 07:59:24,2024-06-30,264BDQW001,11,3921,3595,326,0.9168579444019382,0.9171129813823004,3636,285,0.9273144605967866,0.9275694975771488,3894,27,0.993114001530222,0.0655445039530732,0.0002550369803621525,0.771978021978022,0.0027472527472527475,257,1,281,1,364,282,284,1,309,1,310,363,54,0.1487603305785124,0.14835164835164835,28,0,4,0,27,0,3,0,24,3,BMI482AAB-50U-O-8,27,0,0,258
2024-06-30 07:59:35,2024-06-30,26PBPRM000,03,1320,1320,0,1.0,1.0,1320,0,1.0,1.0,1320,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,SAF775DHN-N208W-K20-54U-O-12,0,0,0,0
2024-06-30 07:59:44,2024-06-30,254BRHM001,24,10769,10597,172,0.9840282291763396,0.9840282291763396,10660,109,0.9898783545361688,0.9898783545361688,10763,6,0.9994428452038258,0.009564490667657164,0.0,0.4740740740740741,0.0,103,0,128,0,270,128,109,0,134,0,134,270,136,0.5037037037037037,0.5037037037037037,6,0,2,0,4,0,2,0,4,2,BMI482AAB_14U_O_8_M001,6,0,0,103
2024-06-30 08:00:52,2024-06-30,31SIP3W002,05,544,544,0,1.0,1.0,544,0,1.0,1.0,544,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,M3990L00014-07U-O-12-5F,0,0,0,0
2024-06-30 08:01:24,2024-06-30,26NF9MW001,176,1122,1045,77,0.931372549019608,0.931372549019608,1121,1,0.999108734402852,0.999108734402852,1122,0,1.0,0.00089126559714795,0.0,0.011494252873563218,0.0,1,0,1,0,87,1,1,0,1,0,1,87,86,0.9885057471264368,0.9885057471264368,0,0,0,0,0,0,0,0,0,0,Z42N-0429,0,0,0,1
