Date,Date_1,Lot,AOI_ID,AOI_Scan_Amount,AOI_Pass_Amount,AOI_Reject_Amount,AOI_Yield,AOI_Yield_Die_Corner,AI_Pass_Amount,AI_Reject_Amount,AI_Yield,AI_Fail_Corner_Yield,Final_Pass_Amount,Final_Reject_Amount,Final_Yield,AI_EA_Overkill_Die_Corner,AI_EA_Overkill_Die_Surface,AI_Image_Overkill_Die_Corner,AI_Image_Overkill_Die_Surface,EA_over_kill_Die_Corner,EA_over_kill_Die_Surface,Image_Overkill_Die_Corner,Image_Overkill_Die_Surface,Total_Images,Image_Overkill,AI_Fail_EA_Die_Corner,AI_Fail_EA_Die_Surface,AI_Fail_Image_Die_Corner,AI_Fail_Image_Die_Surface,AI_Fail_Total,Total_AOI_Die_Corner_Image,AI_Pass,AI_Reduction_Die_Corner,AI_Reduction_All,True_Fail,True_Fail_Crack,True_Fail_Chipout,True_Fail_Die_Surface,True_Fail_Others,EA_True_Fail_Crack,EA_True_Fail_Chipout,EA_True_Fail_Die_Surface,EA_True_Fail_Others,EA_True_Fail_Crack_Chipout,Device_ID,OP_EA_Die_Corner,OP_EA_Die_Surface,OP_EA_Others,Die_Overkill
2024-07-06 07:30:55,2024-07-06,27NFH3N001,K63,1097,410,687,0.373746581586144,0.3773928896991796,1086,11,0.9899726526891522,0.9936189608021878,1097,0,1.0,0.006381039197812215,0.0036463081130355523,0.005388760585065436,0.003079291762894534,7,4,7,4,1299,11,7,4,7,4,11,1295,1288,0.9945945945945946,0.99153194765204,0,0,0,0,0,0,0,0,0,0,Y42M-0928,0,0,0,11
2024-07-06 07:31:02,2024-07-06,27NFH4N002,382,1093,325,768,0.29734675205855443,0.3000914913083257,1067,26,0.9762122598353156,0.9789569990850868,1091,2,0.9981701738334858,0.0192131747483989,0.0027447392497712718,0.014445173998686804,0.001969796454366382,21,3,22,3,1523,25,23,3,24,3,27,1520,1496,0.9842105263157894,0.9822718319107026,2,1,1,0,0,1,1,0,0,2,Y42M-0928,2,0,0,24
2024-07-06 07:33:19,2024-07-06,264BC5M001,13,10439,10365,74,0.9929111983906505,0.9929111983906505,10395,44,0.9957850368809272,0.9957850368809272,10426,13,0.9987546699875468,0.002969633106619408,0.0,0.3305084745762712,0.0,31,0,39,0,118,39,44,0,54,0,54,118,64,0.5423728813559322,0.5423728813559322,15,0,6,0,12,0,4,0,9,4,BMI482AAA_14U_O_8_M001,13,0,0,31
2024-07-06 07:36:25,2024-07-06,27NFGTM001,E50,1100,762,338,0.6927272727272727,0.7018181818181818,1084,16,0.9854545454545456,0.9945454545454544,1093,7,0.9936363636363637,0.005454545454545455,0.0027272727272727275,0.013043478260869565,0.008695652173913044,6,3,6,4,460,10,6,10,6,11,17,449,443,0.9866369710467706,0.9630434782608696,7,0,0,8,0,0,0,7,0,0,Y42M-1027-diebase-tigten_corner-2X-SURFACE,0,7,0,9
2024-07-06 07:36:44,2024-07-06,32SIGUM000,01,1340,1340,0,1.0,1.0,1340,0,1.0,1.0,1340,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,M3995L00012-42U-O-12,0,0,0,0
2024-07-06 07:39:23,2024-07-06,254BMMM001,07,13374,12904,470,0.9648571855839688,0.9649319575295348,13301,73,0.9945416479736804,0.9946164199192464,13359,15,0.9988784208165096,0.004262000897263347,7.477194556602364e-05,0.09933774834437084,0.0016556291390728475,57,1,60,1,604,61,72,1,75,1,76,603,528,0.8756218905472637,0.8741721854304636,15,14,2,0,0,13,2,0,0,15,BMA552-40U-O-8-M001,15,0,0,58
2024-07-06 07:39:23,2024-07-06,32SIGUM000,02,1338,1338,0,1.0,1.0,1338,0,1.0,1.0,1338,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,M3995L00012-42U-O-12,0,0,0,0
2024-07-06 07:39:26,2024-07-06,32SIF1M000,22,1017,1017,0,1.0,1.0,1017,0,1.0,1.0,1017,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,M3991L00017-98U-O-12,0,0,0,0
2024-07-06 07:40:37,2024-07-06,254BMGM001,18,13389,13184,205,0.9846889237433716,0.9846889237433716,13309,80,0.9940249458510718,0.9940249458510718,13357,32,0.9976099783404287,0.0035850324893569353,0.0,0.20647773279352227,0.0,48,0,51,0,247,51,80,0,95,0,95,247,152,0.6153846153846154,0.6153846153846154,44,44,0,0,1,31,0,0,1,31,BMA552-40U-O-8-M001,31,1,0,48
2024-07-06 07:41:09,2024-07-06,27NFH3N001,K64,1085,374,711,0.3447004608294931,0.35023041474654376,1070,15,0.9861751152073732,0.991705069124424,1085,0,1.0,0.008294930875576038,0.00552995391705069,0.007069913589945013,0.004713275726630008,9,6,9,6,1273,15,9,6,9,6,15,1267,1258,0.9928966061562746,0.9882168106834248,0,0,0,0,0,0,0,0,0,0,Y42M-0928,0,0,0,15
2024-07-06 07:42:01,2024-07-06,32SIGUM000,03,1305,1305,0,1.0,1.0,1305,0,1.0,1.0,1305,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,M3995L00012-42U-O-12,0,0,0,0
2024-07-06 07:42:15,2024-07-06,32SIF1M000,23,1017,1017,0,1.0,1.0,1017,0,1.0,1.0,1017,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,M3991L00017-98U-O-12,0,0,0,0
