Date,Date_1,Lot,AOI_ID,AOI_Scan_Amount,AOI_Pass_Amount,AOI_Reject_Amount,AOI_Yield,AOI_Yield_Die_Corner,AI_Pass_Amount,AI_Reject_Amount,AI_Yield,AI_Fail_Corner_Yield,Final_Pass_Amount,Final_Reject_Amount,Final_Yield,AI_EA_Overkill_Die_Corner,AI_EA_Overkill_Die_Surface,AI_Image_Overkill_Die_Corner,AI_Image_Overkill_Die_Surface,EA_over_kill_Die_Corner,EA_over_kill_Die_Surface,Image_Overkill_Die_Corner,Image_Overkill_Die_Surface,Total_Images,Image_Overkill,AI_Fail_EA_Die_Corner,AI_Fail_EA_Die_Surface,AI_Fail_Image_Die_Corner,AI_Fail_Image_Die_Surface,AI_Fail_Total,Total_AOI_Die_Corner_Image,AI_Pass,AI_Reduction_Die_Corner,AI_Reduction_All,True_Fail,True_Fail_Crack,True_Fail_Chipout,True_Fail_Die_Surface,True_Fail_Others,EA_True_Fail_Crack,EA_True_Fail_Chipout,EA_True_Fail_Die_Surface,EA_True_Fail_Others,EA_True_Fail_Crack_Chipout,Device_ID,OP_EA_Die_Corner,OP_EA_Die_Surface,OP_EA_Others,Die_Overkill
2024-07-04 07:33:28,2024-07-04,27NFFZW001,H50,1067,566,501,0.5304592314901593,0.5304592314901593,1058,9,0.9915651358950328,0.9915651358950328,1065,2,0.9981255857544518,0.006560449859418931,0.0,0.010574018126888218,0.0,7,0,7,0,662,7,9,0,9,0,9,662,653,0.986404833836858,0.986404833836858,2,1,0,0,1,1,0,0,1,1,Y42M-0928,2,0,0,7
2024-07-04 07:36:17,2024-07-04,32SIP9M000,12,1927,1910,17,0.991177996886352,0.991177996886352,1926,1,0.9994810586403736,0.9994810586403736,1926,1,0.9994810586403736,0.0,0.0,0.0,0.0,0,0,0,0,26,0,1,0,1,0,1,26,25,0.9615384615384616,0.9615384615384616,1,0,1,0,0,0,1,0,0,1,M3994A00011-77U-0-12,0,0,1,0
2024-07-04 07:39:00,2024-07-04,32SID1W001,13,546,546,0,1.0,1.0,546,0,1.0,1.0,546,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,M3990L00014-07U-O-12-SX06,0,0,0,0
2024-07-04 07:39:23,2024-07-04,254BMNM000,17,10183,10053,130,0.9872336246685652,0.9872336246685652,10100,83,0.9918491603653148,0.9918491603653148,10157,26,0.9974467249337131,0.005597564568398311,0.0,0.2843601895734597,0.0,57,0,60,0,211,60,83,0,86,0,86,211,125,0.5924170616113744,0.5924170616113744,26,0,25,0,1,0,25,0,1,25,BMA552-46U-O-8_MEMS,26,0,0,57
2024-07-04 07:40:09,2024-07-04,254BMKM000,09,10092,10048,44,0.9956401109789932,0.9956401109789932,10061,31,0.9969282600079272,0.9969282600079272,10061,31,0.9969282600079272,0.0,0.0,0.0,0.0,0,0,0,0,44,0,31,0,31,0,31,44,13,0.2954545454545455,0.2954545454545455,31,1,30,0,0,1,30,0,0,31,BMA552-46U-O-8_MEMS,31,0,0,0
2024-07-04 07:40:55,2024-07-04,264BD9M002,19,8840,8787,53,0.9940045248868778,0.9940045248868778,8803,37,0.9958144796380092,0.9958144796380092,8817,23,0.9973981900452488,0.001583710407239819,0.0,0.2857142857142857,0.0,14,0,20,0,70,20,37,0,45,0,45,70,25,0.35714285714285715,0.35714285714285715,25,0,2,0,26,0,2,0,21,2,BMI482AAB_16U_O_8_M002,23,0,0,14
2024-07-04 07:41:24,2024-07-04,32SIP9M000,11,1915,1897,18,0.9906005221932116,0.9906005221932116,1915,0,1.0,1.0,1915,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,30,0,0,0,0,0,0,30,30,1.0,1.0,0,0,0,0,0,0,0,0,0,0,M3994A00011-77U-0-12,0,0,0,0
2024-07-04 07:41:39,2024-07-04,32SID1W001,12,539,537,2,0.9962894248608536,0.9962894248608536,539,0,1.0,1.0,539,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,7,0,0,0,0,0,0,7,7,1.0,1.0,0,0,0,0,0,0,0,0,0,0,M3990L00014-07U-O-12-SX06,0,0,0,0
2024-07-04 07:43:26,2024-07-04,254BKQM001,13,13385,12982,403,0.969891669779604,0.969891669779604,13267,118,0.9911841613746732,0.9911841613746732,13317,68,0.9949196862159132,0.003735524841240194,0.0,0.1172566371681416,0.0,50,0,53,0,452,53,118,0,129,0,129,452,323,0.7146017699115044,0.7146017699115044,76,63,14,0,1,54,13,0,1,67,BMA552-40U-O-8-M001,68,0,0,50
2024-07-04 07:43:48,2024-07-04,27NFFZW001,H51,1066,391,675,0.36679174484052535,0.3677298311444653,1056,10,0.9906191369606004,0.9915572232645404,1066,0,1.0,0.008442776735459663,0.0009380863039399623,0.008071748878923767,0.0008968609865470852,9,1,9,1,1115,10,9,1,9,1,10,1114,1105,0.9919210053859964,0.9910313901345292,0,0,0,0,0,0,0,0,0,0,Y42M-0928,0,0,0,10
